form,source,event,outcome,motif,mechanics
ASTRAL_AVATAR,SPELL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SPELL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SPELL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SPELL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,SPELL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,SPELL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SHADOW_SWORD,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,SHADOW_SWORD,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,SHADOW_SWORD,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,SHADOW_SWORD,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,SHADOW_SWORD,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,SHADOW_SWORD,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,SHADOW_SWORD,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,SHADOW_SWORD,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SHADOW_SWORD,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SHADOW_SWORD,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SHADOW_SWORD,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SHADOW_SWORD,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,SHADOW_SWORD,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,SHADOW_SWORD,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,PARTISAN,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,PARTISAN,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,PARTISAN,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,PARTISAN,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,PARTISAN,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,PARTISAN,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,PARTISAN,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,PARTISAN,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,PARTISAN,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,PARTISAN,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,PARTISAN,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,PARTISAN,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,PARTISAN,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,PARTISAN,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,NONE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,NONE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,NONE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,NONE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,NONE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,NONE,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,NONE,ENERGY_EXHAUSTED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,NONE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,NONE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,NONE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,NONE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,NONE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,NONE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,NONE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,INNATE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,INNATE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,INNATE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,INNATE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,INNATE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,INNATE,POWER_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,INNATE,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,INNATE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,INNATE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,INNATE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,INNATE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,INNATE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,INNATE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,INNATE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,CRYSTAL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,CRYSTAL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,CRYSTAL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,CRYSTAL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,CRYSTAL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,CRYSTAL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,CRYSTAL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,CRYSTAL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,CRYSTAL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,CRYSTAL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,CRYSTAL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,CRYSTAL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,CRYSTAL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,CRYSTAL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SPELL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,SPELL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,SPELL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,SPELL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,SPELL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,SPELL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,SPELL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,SPELL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SPELL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SPELL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SPELL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SPELL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,SPELL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,SPELL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SHADOW_SWORD,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,SHADOW_SWORD,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,SHADOW_SWORD,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,SHADOW_SWORD,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,SHADOW_SWORD,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,SHADOW_SWORD,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,SHADOW_SWORD,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,SHADOW_SWORD,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SHADOW_SWORD,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SHADOW_SWORD,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SHADOW_SWORD,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,SHADOW_SWORD,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,SHADOW_SWORD,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,SHADOW_SWORD,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,PARTISAN,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
TELEPORT_MARKER,PARTISAN,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,PARTISAN,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
TELEPORT_MARKER,PARTISAN,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,PARTISAN,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,PARTISAN,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
TELEPORT_MARKER,PARTISAN,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
TELEPORT_MARKER,PARTISAN,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,PARTISAN,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,PARTISAN,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,PARTISAN,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
TELEPORT_MARKER,PARTISAN,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,PARTISAN,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
TELEPORT_MARKER,PARTISAN,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,NONE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,NONE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,NONE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,NONE,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,NONE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,NONE,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,NONE,ENERGY_EXHAUSTED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,NONE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,NONE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,NONE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,NONE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,NONE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,NONE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,NONE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,INNATE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,INNATE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,INNATE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,INNATE,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,INNATE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,INNATE,POWER_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,INNATE,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,INNATE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,INNATE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,INNATE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,INNATE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,INNATE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,INNATE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,INNATE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,CRYSTAL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,CRYSTAL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,CRYSTAL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,CRYSTAL,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,CRYSTAL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,CRYSTAL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,CRYSTAL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,CRYSTAL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,CRYSTAL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,CRYSTAL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,CRYSTAL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,CRYSTAL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,CRYSTAL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,CRYSTAL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SPELL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,SPELL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,SPELL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,SPELL,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,SPELL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,SPELL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,SPELL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,SPELL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SPELL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SPELL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SPELL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SPELL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,SPELL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,SPELL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SHADOW_SWORD,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,SHADOW_SWORD,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,SHADOW_SWORD,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,SHADOW_SWORD,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,SHADOW_SWORD,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,SHADOW_SWORD,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,SHADOW_SWORD,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,SHADOW_SWORD,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SHADOW_SWORD,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SHADOW_SWORD,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SHADOW_SWORD,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,SHADOW_SWORD,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,SHADOW_SWORD,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,SHADOW_SWORD,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,PARTISAN,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
POSSESSION_CONTROLLER,PARTISAN,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,PARTISAN,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
POSSESSION_CONTROLLER,PARTISAN,VESSEL_FATAL,RETURN_WITH_WRATH,divine_wrath,A dead controlled vessel releases the living controller and invokes bounded divine wrath.
POSSESSION_CONTROLLER,PARTISAN,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,PARTISAN,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
POSSESSION_CONTROLLER,PARTISAN,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
POSSESSION_CONTROLLER,PARTISAN,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,PARTISAN,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,PARTISAN,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,PARTISAN,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
POSSESSION_CONTROLLER,PARTISAN,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,PARTISAN,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
POSSESSION_CONTROLLER,PARTISAN,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
